# goals, # get-abd successes, # get-abd success %, # smt successes, #smt success %, # non-bool equality failures, # abd reconstructr failures, # atom unexp type failures, # non-linear failures
90,17,18.89%,0,0,3,9,0,28
,,,,,,,,
#, Goal, Abducts,Useful Abducts,,,,,
1,  n < m \/ n = m \/ n > m,,0,,,,,
2,  decidable (Zne n m),,0,,,,,
3,  decidable (n > m),,0,,,,,
4,  decidable (n >= m),,0,,,,,
5,  n <> m -> n < m \/ m < n,,0,,,,,
6,  n <= m -> ~ m < n,,0,,,,,
7,  n < m -> ~ m <= n,,0,,,,,
8,  n <= m -> ~ n > m,,0,,,,,
9,  n > m -> ~ n <= m,,0,,,,,
10,  ~ n >= m -> n < m,,0,,,,,
11,  ~ n < m -> n >= m,,0,,,,,
12,  ~ n > m -> n <= m,,0,,,,,
13,  ~ n <= m -> n > m,,0,,,,,
14,  n > m -> ~ m > n,,0,,,,,
15,  ~ n > n,,0,,,,,
16,  n <= m -> n < m \/ n = m,,0,,,,,
17,  n > m -> m > p -> n > p,,0,,,,,
18,  m <= n -> m > p -> n > p,,0,,,,,
19,  n > m -> p <= m -> n > p,,0,,,,,
20,  n >= m -> m >= p -> n >= p,,0,,,,,
21,  m <= n -> Z.succ m <= Z.succ n,n <= m,0,,,,,
,,(Z.succ n) = (Z.succ m),0,,,,,
,,(Z.succ m) + 1 <= (Z.succ n),0,,,,,
22,  n < m -> Z.succ n < Z.succ m,(Z.succ n) + 1 = (Z.succ m),0,,,,,
,,(Z.succ n) + 1 <= (Z.succ m),0,,,,,
,,(Z.succ m) + n = (Z.succ n) + m,1,,,,,
23,  m > n -> Z.succ m > Z.succ n,(Z.succ n) + 1 = (Z.succ m),0,,,,,
,,(Z.succ n) + 1 <= (Z.succ m),0,,,,,
,,(Z.succ n) = n && m <= (Z.succ m),0,,,,,
24,  Z.succ m > Z.succ n -> m > n,,,,,,,
25,  Z.succ m <= Z.succ n -> m <= n,,,,,,,
26,  Z.succ n < Z.succ m -> n < m,,,,,,,
27,  Z.succ n > n,,,,,,,
28,  ~ Z.succ n <= n,,,,,,,
29,  m > n -> Z.succ n <= m,(Z.succ n) <= n,0,,,,,
,,(Z.succ n) = m,0,,,,,
,,(Z.succ n) <= m,0,,,,,
30,  n <= m -> Z.succ m > n,(Z.succ m) = 1 + m,1,,,,,
,,(Z.succ m) = n + 1,0,,,,,
,,n + 1 <= (Z.succ m),0,,,,,
31,  n <= m -> n < Z.succ m,(Z.succ m) = 1 + m,1,,,,,
,,(Z.succ m) = n + 1,0,,,,,
,,n + 1 <= (Z.succ m),0,,,,,
32,  n < m -> Z.succ n <= m,(Z.succ n) <= n,0,,,,,
,,(Z.succ n) <= m,0,,,,,
,,(Z.succ n) = n + 1,1,,,,,
33,  Z.succ m > n -> n <= m,n <= m,0,,,,,
,,(Z.succ m) <= m,0,,,,,
,,(Z.succ m) = m + 1,1,,,,,
34,  n < Z.succ m -> n <= m,n <= m,0,,,,,
,,(Z.succ m) = m,0,,,,,
,,(Z.succ m) <= m,0,,,,,
35,  Z.succ n <= m -> m > n,n + 1 <= m,0,,,,,
,,n + 1 = (Z.succ n),1,,,,,
,,n + 1 <= (Z.succ n),,,,,,
36,  Z.succ n <= m -> n <= m,n <= m,0,,,,,
,,n <= (Z.succ n),1,,,,,
,,1 <= (Z.succ n) && m + n = 1,0,,,,,
37,  m > Z.succ n -> Z.pred m > n,,,,,,,
38,  Z.succ n < m -> n < Z.pred m,,,,,,,
39,  0 < n -> 0 <= Z.pred n,1 <= (Z.pred n),0,,,,,
,,n <= (Z.pred n),0,,,,,
,,0 <= (Z.pred n),0,,,,,
40,  n > 0 -> 0 <= Z.pred n,1 <= (Z.pred n),0,,,,,
,,n <= (Z.pred n),0,,,,,
,,0 <= (Z.pred n),0,,,,,
41,"  forall p q : positive, Z.neg p <= Z.pos q",p + q = 1,0,,,,,
,,p + q = 0,0,,,,,
,,1 <= p + q,0,,,,,
42,"  forall p : positive, Z.pos p > 0",,,,,,,
43,"  forall p : positive, 0 <= Z.pos p",1 = p,0,,,,,
,,0 = p,0,,,,,
,,1 <= p,0,,,,,
44,"  forall p : positive, Z.neg p < 0",,,,,,,
45,"  forall n : nat, 0 <= Z.of_nat n",(Z.of_nat n) = 1,0,,,,,
,,(Z.of_nat n) = 0,0,,,,,
,,0 <= (Z.of_nat n),0,,,,,
46,  Z.succ n > m -> n > m \/ m = n,m <= n,0,,,,,
,,(Z.succ n) <= n,0,,,,,
,,(Z.succ n) = n + 1,1,,,,,
47,  n > m -> p + n > p + m,,,,,,,
48,  n > m -> n + p > m + p,,,,,,,
49,  n <= m -> p + n <= p + m,,,,,,,
50,  n <= m -> n + p <= m + p,,,,,,,
51,  n < m -> p + n < p + m,,,,,,,
52,  n < m -> n + p < m + p,,,,,,,
53,  p + n <= p + m -> n <= m,,,,,,,
54,  n + p <= m + p -> n <= m,,,,,,,
55,  p + n < p + m -> n < m,,,,,,,
56,  n + p < m + p -> n < m,,,,,,,
57,  p + n > p + m -> n > m,,,,,,,
58,  n + p > m + p -> n > m,,,,,,,
59,  n <= m -> 0 <= p -> n * p <= m * p,,,,,,,
60,  n <= m -> 0 <= p -> p * n <= p * m,,,,,,,
61,  0 < p -> n < m -> n * p < m * p,,,,,,,
62,  p > 0 -> n > m -> n * p > m * p,,,,,,,
63,  p > 0 -> n < m -> n * p < m * p,,,,,,,
64,  p > 0 -> n <= m -> n * p <= m * p,,,,,,,
65,  0 < p -> n <= m -> n * p <= m * p,,,,,,,
66,  p > 0 -> n < m -> p * n < p * m,,,,,,,
67,  0 < p -> n < m -> p * n < p * m,,,,,,,
68,  p > 0 -> n > m -> p * n > p * m,,,,,,,
69,  n >= m -> p >= 0 -> n * p >= m * p,,,,,,,
70,  n >= m -> p >= 0 -> p * n >= p * m,,,,,,,
71,  n >= p -> m >= q -> p >= 0 -> q >= 0 -> n * m >= p * q,,,,,,,
72,  n <= p -> m <= q -> 0 <= n -> 0 <= m -> n * m <= p * q,,,,,,,
73,  p > 0 -> n * p < m * p -> n < m,,,,,,,
74,  0 < p -> n * p < m * p -> n < m,,,,,,,
75,  p > 0 -> n * p <= m * p -> n <= m,,,,,,,
76,  0 < p -> n * p <= m * p -> n <= m,,,,,,,
77,  p > 0 -> n * p >= m * p -> n >= m,,,,,,,
78,  p > 0 -> n * p > m * p -> n > m,,,,,,,
79,  0 <= n < p -> 0 <= m < q -> n * m < p * q,,,,,,,
80,  n > 0 -> m > 0 -> n * m > 0,,,,,,,
81,  n > 0 -> 0 <= m * n -> 0 <= m,,,,,,,
82,  0 < n -> 0 < m * n -> 0 < m,,,,,,,
83,  n > 0 -> 0 < m * n -> 0 < m,,,,,,,
84,  n > 0 -> n * m > 0 -> m > 0,,,,,,,
85,  0 <= n -> m * m < n * n -> m < n,,,,,,,
86,  n >= 0 -> n * n > m * m -> n > m,,,,,,,
87,  n + p = m <-> n = m - p,,,,,,,
88,  0 < n - m -> m < n,,,,,,,
89,  0 <= n - m -> m <= n,,,,,,,
90,  m <= n -> 0 <= n - m,,,,,,,
,,,8,,,,,
