Goal, Abducts 1, Abducts 2, Abducts 3, Abducts 4, Abducts 5, Abducts 6, Abducts 7, Abducts 8, Abducts 9, Abducts 10, Abducts 11, Abducts 12 
,,,,,,,,,,,,,
  n <= m -> Z.succ m > n,m = (Z.succ m) && m = 2 && n <= 1 | m <= (Z.succ m) && m = 2 && 1 = n | m = (Z.succ m) && m = 1 && m = m + n,m = (Z.succ m) - 1 | m <= (Z.succ m) - 1,m = (Z.succ m) && n <= 0 && m = 1 | m = (Z.succ 0) && m = (Z.succ m) && m = 3 && n = 1,m = (Z.succ m) - 1 | m <= (Z.succ m) - 1,-2 + m = n && m <= -1 && (Z.succ m) = -1 | m + m = n && -1 = m && (Z.succ m) = -1,m <= (Z.succ m) + -2 | n <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m = -1 && (Z.succ m) = -1 | (Z.succ -2) = -1 && (not m = n) && m <= -1 && (Z.succ m) = -1,m <= (Z.succ m) + -1 | n <= (Z.succ m) + -1,-2 + m = n && m <= -1 && (Z.succ m) = -1 | m + m = n && -1 = m && (Z.succ m) = -1,m <= (Z.succ m) + -2 | n <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m = -1 && (Z.succ m) = -1 | (Z.succ -2) = -1 && (not m = n) && m <= -1 && (Z.succ m) = -1,m <= (Z.succ m) + -1 | n <= (Z.succ m) + -1,
  n < m \/ n = m \/ n > m,,,,,,,,,,,,,
  decidable (Zne n m),,,,,,,,,,,,,
  decidable (n > m),,,,,,,,,,,,,
  decidable (n >= m),,,,,,,,,,,,,
  n <> m -> n < m \/ m < n,,,,,,,,,,,,,
  n <= m -> ~ m < n,,,,,,,,,,,,,
  n < m -> ~ m <= n,,,,,,,,,,,,,
  n <= m -> ~ n > m,,,,,,,,,,,,,
  n > m -> ~ n <= m,,,,,,,,,,,,,
  ~ n >= m -> n < m,,,,,,,,,,,,,
  ~ n < m -> n >= m,,,,,,,,,,,,,
  ~ n > m -> n <= m,,,,,,,,,,,,,
  ~ n <= m -> n > m,,,,,,,,,,,,,
  n > m -> ~ m > n,,,,,,,,,,,,,
  ~ n > n,,,,,,,,,,,,,
  n <= m -> n < m \/ n = m,,,,,,,,,,,,,
  n > m -> m > p -> n > p,,,,,,,,,,,,,
  m <= n -> m > p -> n > p,,,,,,,,,,,,,
  n > m -> p <= m -> n > p,,,,,,,,,,,,,
  n >= m -> m >= p -> n >= p,,,,,,,,,,,,,
  m <= n -> Z.succ m <= Z.succ n,n = m | n <= m,n = m | n <= m,n = m | n = 0 && n <= m,n = m | n <= m,n <= m | n <= (Z.succ n) && (Z.succ m) <= m && m <= -3 + n && (Z.succ -1) = n,,,m = n | n <= m,n <= m | n <= (Z.succ n) && (Z.succ m) <= m && m <= -3 + n && (Z.succ -1) = n,,,m = n | n <= m,
  n < m -> Z.succ n < Z.succ m,n = (Z.succ n) && m = n - m && m = (Z.succ 1) && m = (Z.succ m) | n = (Z.succ n) && m <= 0 - n && m = (Z.succ 1) && m = 0 + 1,,,1 = (Z.succ m) - (Z.succ n) | 1 <= (Z.succ m) - (Z.succ n),(Z.succ m) = -1 && (Z.succ n) = n && -2 + m = n && n + m = n | (Z.succ -2) = m && (Z.succ -3) = -1 && (Z.succ m) = m && (Z.succ n) = n && n + m = n,,,(Z.succ n) <= (Z.succ m) + -2 | (Z.succ m) + -1 = (Z.succ n),(Z.succ m) = -1 && (Z.succ n) = n && -2 + m = n && n + m = n | (Z.succ -2) = m && (Z.succ -3) = -1 && (Z.succ m) = m && (Z.succ n) = n && n + m = n,,,(Z.succ n) <= (Z.succ m) + -2 | (Z.succ m) + -1 = (Z.succ n),
  m > n -> Z.succ m > Z.succ n,m = (Z.succ m) && n = (Z.succ n) && n = 0 + 1 | m <= (Z.succ m) && n = (Z.succ n) && n = 0 + 1,,,,,,,(Z.succ m) + -1 = (Z.succ n) | (Z.succ n) <= (Z.succ m) + -1,(Z.succ n) = -1 && (Z.succ m) = m && m <= n + n | (Z.succ -3) = -1 && (Z.succ n) = n && (Z.succ m) = -1 && (Z.succ -2) = m && m = -1,,,(Z.succ m) + -1 = (Z.succ n) | (Z.succ n) <= (Z.succ m) + -1,
  Z.succ m > Z.succ n -> m > n,,,m = 1 && n <= m | n <= m,,,,,,,,,,
  Z.succ m <= Z.succ n -> m <= n,,,m = n | m <= n,,,,,,,,,,
  Z.succ n < Z.succ m -> n < m,n <= m | (Z.succ 1) = 0 && (Z.succ m) = 0 && (Z.succ 0) = m && n + m = 0 && n - 0 <= 1,,,,,,,,,,,,
  Z.succ n > n,n = 0 - 1 && 0 = (Z.succ n) | n = -2 && 0 = (Z.succ n),,,,,,,,,,,,
  ~ Z.succ n <= n,n = 0 - 1 && 0 = (Z.succ n) | n = -2 && 0 = (Z.succ n),,,,,,,,,,,,
  m > n -> Z.succ n <= m,n = (Z.succ n) && 1 = m | n = (Z.succ n) && n = 2,n = (Z.succ n) | m = (Z.succ n),n = (Z.succ n) && n = 0 | n = (Z.succ n) && n = 1,n = (Z.succ n) | m = (Z.succ n),n + n = m && (Z.succ n) = m | (Z.succ n) = -1 && (Z.succ -2) = m && -1 = n,(Z.succ n) = n | (Z.succ n) = m,(Z.succ n) = -1 && -1 = m | (Z.succ -2) = -1 && (Z.succ n) = -1 && -1 <= m,(Z.succ n) <= n | (Z.succ n) <= m,n + n = m && (Z.succ n) = m | (Z.succ n) = -1 && (Z.succ -2) = m && -1 = n,(Z.succ n) = n | (Z.succ n) = m,(Z.succ n) = -1 && -1 = m | (Z.succ -2) = -1 && (Z.succ n) = -1 && -1 <= m,(Z.succ n) <= n | (Z.succ n) <= m,
  n <= m -> n < Z.succ m,m = (Z.succ m) && m = 2 && n <= 1 | m <= (Z.succ m) && m = 2 && 1 = n,m = (Z.succ m) - 1 | m <= (Z.succ m) - 1,m = (Z.succ m) && n <= 0 && m = 1 | m = (Z.succ 0) && m = (Z.succ m) && m = 3 && n = 1,m = (Z.succ m) - 1 | m <= (Z.succ m) - 1,-2 + m = n && m <= -1 && (Z.succ m) = -1 | m + m = n && -1 = m && (Z.succ m) = -1,m <= (Z.succ m) + -2 | n <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m = -1 && (Z.succ m) = -1 | (Z.succ -2) = -1 && (not m = n) && m <= -1 && (Z.succ m) = -1,m <= (Z.succ m) + -1 | n <= (Z.succ m) + -1,-2 + m = n && m <= -1 && (Z.succ m) = -1 | m + m = n && -1 = m && (Z.succ m) = -1,m <= (Z.succ m) + -2 | n <= (Z.succ m) + -2,(Z.succ -2) = -1 && (not m = n) && m = -1 && (Z.succ m) = -1 | (Z.succ -2) = -1 && (not m = n) && m <= -1 && (Z.succ m) = -1,m <= (Z.succ m) + -1 | n <= (Z.succ m) + -1,
  n < m -> Z.succ n <= m,0 = n && m = (Z.succ n) | 1 = n && m = (Z.succ n),m = (Z.succ n) | n = (Z.succ n),m = (Z.succ n) | m = (Z.succ 0) && 0 <= n && m = 1,m = (Z.succ n) | n = (Z.succ n),(Z.succ n) = n && -2 + m = n | m + m = n && (Z.succ n) = n,(Z.succ n) = n | (Z.succ n) = m,(Z.succ n) = -1 && (Z.succ -2) = -1 && (Z.succ m) = -1 && m = -1 | (Z.succ n) = -1 && (Z.succ m) = -1 && -1 <= m,(Z.succ n) = n | (Z.succ n) = m,(Z.succ n) = n && -2 + m = n | m + m = n && (Z.succ n) = n,(Z.succ n) = n | (Z.succ n) = m,(Z.succ n) = -1 && (Z.succ -2) = -1 && (Z.succ m) = -1 && m = -1 | (Z.succ n) = -1 && (Z.succ m) = -1 && -1 <= m,(Z.succ n) = n | (Z.succ n) = m,
  Z.succ m > n -> n <= m,,,n = m | n <= m,n = m | n <= m,n <= m | (Z.succ m) <= -1 && m + n = n,n <= m | (Z.succ m) = m,-1 <= m && n <= -1 | n <= m + m && n <= (Z.succ 3) && (Z.succ 3) = -1,m = n | n <= m,n <= m | (Z.succ m) <= -1 && m + n = n,n <= m | (Z.succ m) = m,-1 <= m && n <= -1 | n <= m + m && n <= (Z.succ 3) && (Z.succ 3) = -1,m = n | n <= m,
  n < Z.succ m -> n <= m,,,n = m | n <= m,n = m | n <= m,m = n | n = -2 && -1 = m,n <= m | (Z.succ m) <= m,n <= m | (Z.succ m) + -2 = -1 && (Z.succ n) = m && 3 - n = m,n <= m | (Z.succ m) = m,m = n | n = -2 && -1 = m,n <= m | (Z.succ m) <= m,n <= m | (Z.succ m) + -2 = -1 && (Z.succ n) = m && 3 - n = m,n <= m | (Z.succ m) = m,
  Z.succ n <= m -> m > n,m = 1 && n = 0 | n <= 0 && m = 1,m = n + 1 | n <= m - 1,m = 1 && n = 0 | n <= 0 && m = 1,m = n + 1 | n <= m - 1,n <= m + m && -1 = m | n <= m + n && n <= -1,m + -1 = n | n <= m + -1,(not m = n) && n <= m | n + n = (Z.succ m) && m + -2 = (Z.succ m) && -1 <= m + 5 && -1 <= (Z.succ -4) && m <= (Z.succ n),n <= -2 + m | -1 + m = n,n <= m + m && -1 = m | n <= m + n && n <= -1,m + -1 = n | n <= m + -1,(not m = n) && n <= m | n + n = (Z.succ m) && m + -2 = (Z.succ m) && -1 <= m + 5 && -1 <= (Z.succ -4) && m <= (Z.succ n),n <= -2 + m | -1 + m = n,
  Z.succ n <= m -> n <= m,m = n | 0 <= m && 0 = n,m = n | n <= m,m = n | n <= m,m = n | n <= m,n <= m | (Z.succ 5) + m = n && (Z.succ n) = n && -3 + n = -1,n <= m | (Z.succ n) = n,-1 <= m && n <= -1 | n <= m,n = m | n <= m,n <= m | (Z.succ 5) + m = n && (Z.succ n) = n && -3 + n = -1,n <= m | (Z.succ n) = n,-1 <= m && n <= -1 | n <= m,n = m | n <= m,
  m > Z.succ n -> Z.pred m > n,m <= (Z.pred m) && 1 <= m && 0 = n | m = (Z.succ m) && m <= (Z.pred m) && n <= m,,,,,n <= (Z.pred m) + -3 | (Z.pred m) + -1 = n,,,,,,,
  Z.succ n < m -> n < Z.pred m,m <= (Z.pred m) && 1 <= m && 0 = n | m = (Z.succ m) && m <= (Z.pred m) && n <= m,,,,,,,,,,,,
  0 < n -> 0 <= Z.pred n,n = (Z.pred n) | n <= (Z.pred n) && n = 3,n = (Z.pred n) | n <= (Z.pred n),n = (Z.pred n) && n = 3 | n <= (Z.pred n) && n = 3,n = (Z.pred n) | n <= (Z.pred n),(Z.pred n) = n | (Z.pred n) + -2 = -1,n <= (Z.pred n) | (Z.pred n) + n = n,(Z.pred n) = n | (Z.pred n) + -2 = -1,n <= (Z.pred n) | (Z.pred n) + n = n,(Z.pred n) = n | (Z.pred n) + -2 = -1,n <= (Z.pred n) | (Z.pred n) + n = n,(Z.pred n) = n | (Z.pred n) + -2 = -1,n <= (Z.pred n) | (Z.pred n) + n = n,
  n > 0 -> 0 <= Z.pred n,n = (Z.pred n) | n <= (Z.pred n) && n = 3,n = (Z.pred n) | n <= (Z.pred n),n = (Z.pred n) && n = 3 | n <= (Z.pred n) && n = 3,n = (Z.pred n) | n <= (Z.pred n),(Z.pred n) = n | (Z.pred n) + -2 = -1,n <= (Z.pred n) | (Z.pred n) + n = n,(Z.pred n) = n | (Z.pred n) + -2 = -1,n <= (Z.pred n) | (Z.pred n) + n = n,(Z.pred n) = n | (Z.pred n) + -2 = -1,n <= (Z.pred n) | (Z.pred n) + n = n,(Z.pred n) = n | (Z.pred n) + -2 = -1,n <= (Z.pred n) | (Z.pred n) + n = n,
  forall p q : positive, Z.neg p <= Z.pos q,p = 0 && p = q | p = 1 && p <= q,p = 0 - q | p = 1 - q,p = 0 && p = q | p = 1 && p <= q,p = 0 - q | p = 1 - q,(not -1 = p) && p <= q && -1 <= p | 3 + p <= q && -1 = p,,,p + q = 3 | 5 <= p + q,(not -1 = p) && p <= q && -1 <= p | 3 + p <= q && -1 = p,,,p + q = 3 | 5 <= p + q,
  forall p : positive, Z.pos p > 0,,,,,,,p + p + -3 = p | -3 + p = -1,,,,,,
  forall p : positive, 0 <= Z.pos p,p = 0 | p = 1,p = 0 | p = 1,p = 0 | p = 1,p = 0 | p = 1,,,,,,,,,
  forall p : positive, Z.neg p < 0,,,,,,,p + p + -3 = p | -3 + p = -1,,,,,,
  forall n : nat, 0 <= Z.of_nat n,,,0 = (Z.of_nat n) | 1 = (Z.of_nat n),,,(Z.of_nat n) + -2 = -1 | -1 <= (Z.of_nat n) + -3,(Z.of_nat n) + -2 = -1 | -1 <= (Z.of_nat n) + -3,(Z.of_nat n) + -4 = -1 | -1 <= (Z.of_nat n) + -4,,,(Z.of_nat n) + -2 = -1 | -1 <= (Z.of_nat n) + -3,(Z.of_nat n) + -4 = -1 | -1 <= (Z.of_nat n) + -4,
  Z.succ n > m -> n > m \/ m = n,m = n | m <= n,m = n | m <= n,m = n | m <= n,m = n | m <= n,m <= n | (Z.succ n) <= -1 && n + m = m,m <= n | (Z.succ n) = n,-1 <= n && m <= -1 | m <= n + n && m <= (Z.succ 3) && (Z.succ 3) = -1,n = m | m <= n,m <= n | (Z.succ n) <= -1 && n + m = m,m <= n | (Z.succ n) = n,-1 <= n && m <= -1 | m <= n + n && m <= (Z.succ 3) && (Z.succ 3) = -1,n = m | m <= n,
  n > m -> p + n > p + m,,,,,,,,,,,,,
  n > m -> n + p > m + p,,,,,,,,,,,,,
  n <= m -> p + n <= p + m,,,,,,,,,,,,,
  n <= m -> n + p <= m + p,,,,,,,,,,,,,
  n < m -> p + n < p + m,,,,,,,,,,,,,
  n < m -> n + p < m + p,,,,,,,,,,,,,
  p + n <= p + m -> n <= m,,,,,,,,,,,,,
  n + p <= m + p -> n <= m,,,,,,,,,,,,,
  p + n < p + m -> n < m,,,,,,,,,,,,,
  n + p < m + p -> n < m,,,,,,,,,,,,,
  p + n > p + m -> n > m,,,,,,,,,,,,,
  n + p > m + p -> n > m,,,,,,,,,,,,,
  n <= m -> 0 <= p -> n * p <= m * p,,,,,,,,,,,,,
  n <= m -> 0 <= p -> p * n <= p * m,,,,,,,,,,,,,
  0 < p -> n < m -> n * p < m * p,,,,,,,,,,,,,
  p > 0 -> n > m -> n * p > m * p,,,,,,,,,,,,,
  p > 0 -> n < m -> n * p < m * p,,,,,,,,,,,,,
  p > 0 -> n <= m -> n * p <= m * p,,,,,,,,,,,,,
  0 < p -> n <= m -> n * p <= m * p,,,,,,,,,,,,,
  p > 0 -> n < m -> p * n < p * m,,,,,,,,,,,,,
  0 < p -> n < m -> p * n < p * m,,,,,,,,,,,,,
  p > 0 -> n > m -> p * n > p * m,,,,,,,,,,,,,
  n >= m -> p >= 0 -> n * p >= m * p,,,,,,,,,,,,,
  n >= m -> p >= 0 -> p * n >= p * m,,,,,,,,,,,,,
  n >= p -> m >= q -> p >= 0 -> q >= 0 -> n * m >= p * q,,,,,,,,,,,,,
  n <= p -> m <= q -> 0 <= n -> 0 <= m -> n * m <= p * q,,,,,,,,,,,,,
  p > 0 -> n * p < m * p -> n < m,,,,,,,,,,,,,
  0 < p -> n * p < m * p -> n < m,,,,,,,,,,,,,
  p > 0 -> n * p <= m * p -> n <= m,,,,,,,,,,,,,
  0 < p -> n * p <= m * p -> n <= m,,,,,,,,,,,,,
  p > 0 -> n * p >= m * p -> n >= m,,,,,,,,,,,,,
  p > 0 -> n * p > m * p -> n > m,,,,,,,,,,,,,
  0 <= n < p -> 0 <= m < q -> n * m < p * q,,,,,,,,,,,,,
  n > 0 -> m > 0 -> n * m > 0,,,,,,,,,,,,,
  n > 0 -> 0 <= m * n -> 0 <= m,,,,,,,,,,,,,
  0 < n -> 0 < m * n -> 0 < m,,,,,,,,,,,,,
  n > 0 -> 0 < m * n -> 0 < m,,,,,,,,,,,,,
  n > 0 -> n * m > 0 -> m > 0,,,,,,,,,,,,,
  0 <= n -> m * m < n * n -> m < n,,,,,,,,,,,,,
  n >= 0 -> n * n > m * m -> n > m,,,,,,,,,,,,,
  n + p = m <-> n = m - p,,,,,,,,,,,,,
  0 < n - m -> m < n,,,,,,,,,,,,,
  0 <= n - m -> m <= n,,,,,,,,,,,,,
